Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.11     0.00   191389     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.11     0.00   191389     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.11     0.00   191386     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.11     0.00   191386     0.00     0.05  std::unordered_map<int, int, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, int> > >::operator[](int&&)
  0.00      0.11     0.00   191386     0.00     0.05  std::__detail::_Map_base<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](int&&)
  0.00      0.11     0.00   191338     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<int const, int> >::_M_v()
  0.00      0.11     0.00     2628     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.11     0.00     1533     0.00     0.00  Particle* std::__addressof<Particle>(Particle&)
  0.00      0.11     0.00     1323     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, int>, false>::_M_next() const
  0.00      0.11     0.00     1022     0.00     0.00  Particle&& std::forward<Particle>(std::remove_reference<Particle>::type&)
  0.00      0.11     0.00     1015     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.11     0.00      842     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::base() const
  0.00      0.11     0.00      822     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::__normal_iterator(Particle* const&)
  0.00      0.11     0.00      800     0.00     0.00  __gnu_cxx::__normal_iterator<Particle*, std::vector<Particle, std::allocator<Particle> > >::operator*() const
  0.00      0.11     0.00      681     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<int const, int>, false> const&, unsigned long) const
  0.00      0.11     0.00      639     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<int const, int>, false> const&) const
  0.00      0.11     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.11     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.11     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.11     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
